Year,Season,Temperature,Secchi
1987,Winter,10.218612808759868,63.249387889439795
1988,Winter,10.424201593293288,NA
1989,Winter,NA,NA
1990,Winter,10.265001258636497,NA
1991,Winter,9.601726395336689,NA
1992,Winter,9.682364983600278,83.84978118286942
1993,Winter,9.873362081785958,44.471064806012905
1994,Winter,9.651681309361315,74.69998295998246
1995,Winter,10.183879780073235,47.03574440023938
1996,Winter,NA,NA
1997,Winter,NA,NA
1998,Winter,NA,NA
1999,Winter,NA,NA
2000,Winter,NA,NA
2001,Winter,NA,NA
2002,Winter,NA,NA
2003,Winter,NA,NA
2004,Winter,NA,NA
2005,Winter,10.53484813944661,58.90928613727432
2006,Winter,10.616847493013,57.96381313507555
2007,Winter,9.55606506312309,75.0429599454743
2008,Winter,9.229520453808227,51.226279733779805
2009,Winter,10.051076144476262,91.28271046909906
2010,Winter,10.016055405986249,80.89533753935495
2011,Winter,9.802992136118597,80.56837774204529
2012,Winter,9.81825855603753,96.28625006020239
2013,Winter,10.36871564516734,67.87810733967358
2014,Winter,10.003263904064964,109.23353128433754
2015,Winter,12.12273744803632,65.81659803907607
2016,Winter,10.446443774957014,71.88036754845754
2017,Winter,10.506736451253895,NA
2018,Winter,11.293105782672965,NA
2019,Winter,10.468350782046222,NA
2020,Winter,NA,NA
2021,Winter,NA,NA
