Year,Region,Temperature,Secchi,Salinity
1978,Suisun Bay,16.25011646115813,31.310375932995875,4.933416257498544
1979,Suisun Bay,15.957591594827587,34.65218253968254,5.292619458336715
1980,Suisun Bay,15.737226716870815,27.186798879049828,3.372063106302833
1981,Suisun Bay,16.372338483987146,37.1684629226509,7.2839764998201595
1982,Suisun Bay,15.081628300060675,27.010117045247515,1.4531686845929737
1983,Suisun Bay,16.085684532913483,30.05596753636227,0.4994608659503982
1984,Suisun Bay,16.361249803251695,37.78597533305351,3.5389227343441467
1985,Suisun Bay,15.490607734156479,53.9869816985049,7.685549814754225
1986,Suisun Bay,15.975824714616435,34.505370731850995,4.605614684059451
1987,Suisun Bay,16.46945273014605,45.420405680375566,8.961994508156309
1988,Suisun Bay,16.246936941907702,41.54452792650184,10.099699887500885
1989,Suisun Bay,15.988808137950036,38.20009192909471,8.555509670087654
1990,Suisun Bay,16.479989384396454,40.39409210207539,9.862076301401764
1991,Suisun Bay,15.631918296923121,42.183553486122804,10.160576110164401
1992,Suisun Bay,16.72549959317631,48.342240467522984,9.489600221961625
1993,Suisun Bay,15.942349757092032,38.24858392950498,4.715747726746416
1994,Suisun Bay,15.512573770394056,39.76356427666474,8.327213301351724
1995,Suisun Bay,15.899245683492147,35.56894653109194,3.2197202166298418
1996,Suisun Bay,16.41352714235122,35.196936837706964,4.065903163532224
1997,Suisun Bay,16.769454526463164,36.047797723906825,4.928436338155812
1998,Suisun Bay,15.775508200705572,30.347804186529892,2.3200952754146575
1999,Suisun Bay,15.012612524883687,31.70115522750305,3.981522402608987
2000,Suisun Bay,16.081005425507463,32.74077665209458,5.600597530876913
2001,Suisun Bay,16.078378145708285,38.418573984651296,9.092564281615083
2002,Suisun Bay,16.04452746958498,34.74921926879694,6.735767477529777
2003,Suisun Bay,16.4819901905975,34.70554238448975,5.2693155383144825
2004,Suisun Bay,16.390579548754975,37.43847086437781,6.576075641578131
2005,Suisun Bay,16.24703676428347,43.72047780435938,4.956299165143427
2006,Suisun Bay,15.99261722087825,40.5166813334083,3.850874161259913
2007,Suisun Bay,16.016688046430694,44.33600969558662,7.621148971855918
2008,Suisun Bay,15.747157390393777,45.69499525070604,8.125227959991488
2009,Suisun Bay,15.726374267888973,49.013587917506456,8.255631337862775
2010,Suisun Bay,15.82974704312214,43.67012120376391,6.342727172929253
2011,Suisun Bay,15.467263865465465,45.64453816396179,3.1413045629895673
2012,Suisun Bay,15.920735335356078,46.50741242403394,7.788997354420843
2013,Suisun Bay,16.393589959343604,43.67012379074393,7.71231810018574
2014,Suisun Bay,16.924601435484945,47.53451537904938,11.28677960623768
2015,Suisun Bay,17.423606293634933,47.9389156920078,10.821848593912799
2016,Suisun Bay,16.579155660866128,44.532520081832914,7.634620561372298
2017,Suisun Bay,16.656224216508086,42.37929860845646,3.57237453265685
2018,Suisun Bay,16.4676221900988,48.02375937891742,7.480418158004256
2019,Suisun Bay,16.468363314367625,41.46443445627665,3.932036647149451
2020,Suisun Bay,NA,NA,NA
2021,Suisun Bay,NA,NA,NA
1975,Suisun Marsh,NA,NA,NA
1976,Suisun Marsh,NA,NA,NA
1977,Suisun Marsh,NA,NA,NA
1978,Suisun Marsh,16.48820634920635,25.195833333333333,3.786265295907256
1979,Suisun Marsh,16.21856103326498,26.000297619047622,3.9479675118308974
1980,Suisun Marsh,16.099626801592304,21.32883640725746,2.055862043943517
1981,Suisun Marsh,16.8278885814352,25.581739156531643,5.48436572615918
1982,Suisun Marsh,15.278579702135309,20.075388301418048,0.7549308487392656
1983,Suisun Marsh,15.592396878869822,22.495622006048798,0.2838619049695166
1984,Suisun Marsh,17.212803514568222,27.00848977411477,1.883472268415652
1985,Suisun Marsh,15.885135753768896,29.808782472353165,4.0230029213832
1986,Suisun Marsh,16.81953820417056,21.182380698005698,2.368097488955925
1987,Suisun Marsh,16.346870941558443,26.864568744164334,4.61394816271285
1988,Suisun Marsh,16.153009370853603,27.636539733414732,4.4185985353054145
1989,Suisun Marsh,15.871324404761904,25.68426110926111,3.404668230577838
1990,Suisun Marsh,16.896218584656086,26.37886002886003,4.754693612797551
1991,Suisun Marsh,15.551240273887334,27.895021202925612,5.560937730040249
1992,Suisun Marsh,16.999244957199764,28.942488523187052,5.4368946806496945
1993,Suisun Marsh,17.0198023653906,21.763126361655775,1.9527877713247421
1994,Suisun Marsh,16.462198125948127,23.870207107707106,3.4638383346929404
1995,Suisun Marsh,16.303017748277217,18.613803227791607,1.033501158239483
1996,Suisun Marsh,16.537210992412604,22.397403493676784,2.3033409748762135
1997,Suisun Marsh,17.09097561495863,24.979391579890507,3.2174361001461524
1998,Suisun Marsh,15.993709770114942,20.089332652078596,1.0581730560564924
1999,Suisun Marsh,15.53653127857819,21.4026737682325,1.9810292067419404
2000,Suisun Marsh,16.200388013590004,24.72634858767105,3.0654440864952415
2001,Suisun Marsh,16.287963671487223,30.045028659611994,4.302379040930801
2002,Suisun Marsh,16.407114121420456,28.710053024218524,3.8283000169499575
2003,Suisun Marsh,17.08929989377906,26.420967703813922,2.786861941116202
2004,Suisun Marsh,17.202489359406027,30.72523249738767,3.661284218769239
2005,Suisun Marsh,16.932352202815448,29.44525623352089,2.6259575910712005
2006,Suisun Marsh,16.508451278659614,26.870537823019706,2.3900192170969823
2007,Suisun Marsh,15.999311037280123,30.83510085978836,4.617805232569447
2008,Suisun Marsh,16.09025484546318,30.50489560694271,5.111358695204677
