IBMR,Month,Scenario,BPUE_sum
eurytem,8,bdl_bn_noact,50.182007281858986
eurytem,8,bdl_bn_smscg6,91.40750351795181
eurytem,8,bdl_bn_smscg4,106.06595924538445
eurytem,9,bdl_bn_noact,127.84748835787263
eurytem,9,bdl_bn_smscg6,248.96665760230545
eurytem,9,bdl_bn_smscg4,349.59793237441596
eurytem,10,bdl_bn_noact,1651.046557658185
eurytem,10,bdl_bn_smscg6,2338.930883525635
eurytem,10,bdl_bn_smscg4,2557.262693212762
limno,6,bdl_bn_noact,18668.340679321245
limno,6,bdl_bn_smscg6,18668.340679321245
limno,6,bdl_bn_smscg4,18668.340679321245
limno,7,bdl_bn_noact,85694.7601627628
limno,7,bdl_bn_smscg6,97759.43069517675
limno,7,bdl_bn_smscg4,105276.16050285769
limno,8,bdl_bn_noact,51769.563097062084
limno,8,bdl_bn_smscg6,56705.777314031744
limno,8,bdl_bn_smscg4,59333.05871107862
limno,9,bdl_bn_noact,66618.58945235079
limno,9,bdl_bn_smscg6,67630.66857545522
limno,9,bdl_bn_smscg4,62836.2539608873
limno,10,bdl_bn_noact,52042.51091230154
limno,10,bdl_bn_smscg6,62973.171112017
limno,10,bdl_bn_smscg4,55041.261324717765
mysid,6,bdl_bn_noact,88500.61847180732
mysid,6,bdl_bn_smscg6,88500.61847180732
mysid,6,bdl_bn_smscg4,88500.61847180732
mysid,7,bdl_bn_noact,439873.6436068337
mysid,7,bdl_bn_smscg6,500132.89230575255
mysid,7,bdl_bn_smscg4,528721.7411327367
mysid,8,bdl_bn_noact,10261.475555995987
mysid,8,bdl_bn_smscg6,28693.208831238313
mysid,8,bdl_bn_smscg4,34535.91404039245
mysid,9,bdl_bn_noact,7169.331041528062
mysid,9,bdl_bn_smscg6,29314.93602143823
mysid,9,bdl_bn_smscg4,54528.36490610837
mysid,10,bdl_bn_noact,14052.404738772466
mysid,10,bdl_bn_smscg6,28945.07944195473
mysid,10,bdl_bn_smscg4,54937.83029334715
othcalad,6,bdl_bn_noact,177548.1080771624
othcalad,6,bdl_bn_smscg6,177548.1080771624
